id,airport_ref,airport_ident,length_ft,width_ft,surface,lighted,closed,le_ident,le_latitude_deg,le_longitude_deg,le_elevation_ft,le_heading_degT,le_displaced_threshold_ft,he_ident,he_latitude_deg,he_longitude_deg,he_elevation_ft,he_heading_degT,he_displaced_threshold_ft
245497,3792,KPSP,10000.0,150.0,ASP,1,0,13R,33.8406982421875,-116.51699829101562,451.0,144,3000.0,31L,33.818599700927734,-116.4980010986328,405.0,324,1500.0
241388,20874,KPSX,5001.0,150.0,CON,0,0,08,28.73040008544922,-96.26210021972656,11.0,90,,26,28.730300903320312,-96.24649810791016,12.0,270,
241389,20874,KPSX,5001.0,150.0,CON,1,0,13,28.73069953918457,-96.2573013305664,12.0,135,,31,28.72100067138672,-96.24639892578124,14.0,315,
241390,20874,KPSX,5001.0,150.0,CON,0,0,17,28.733200073242188,-96.24669647216795,11.0,180,,35,28.71940040588379,-96.2468032836914,14.0,0,
240849,20875,KPTB,5001.0,100.0,ASP,1,0,05,37.179298400878906,-77.51200103759766,193.0,43,,23,37.189300537109375,-77.50029754638672,190.0,223,
240850,20875,KPTB,3061.0,50.0,ASP,0,0,14,37.18569946289063,-77.51319885253906,186.0,133,,32,37.18000030517578,-77.50550079345703,186.0,313,
244838,20876,KPTD,3705.0,60.0,ASP,1,0,06,44.67300033569336,-74.95339965820312,471.0,44,,24,44.680301666259766,-74.94349670410156,468.0,224,
242261,3793,KPTK,2451.0,75.0,ASP,0,1,04,42.661399841308594,-83.41410064697266,970.0,41,,22,42.666500091552734,-83.40809631347656,972.0,221,
242263,3793,KPTK,5000.0,100.0,ASP,1,0,09L,42.66619873046875,-83.43190002441406,976.0,88,,27R,42.66680145263672,-83.41329956054688,973.0,268,
242262,3793,KPTK,6200.0,150.0,ASP,1,0,09R,42.66469955444336,-83.43309783935547,980.0,88,,27L,42.66529846191406,-83.41010284423828,972.0,268,
242264,3793,KPTK,1856.0,50.0,ASP,0,0,18,42.66709899902344,-83.40840148925781,973.0,178,,36,42.6619987487793,-83.408203125,969.0,358,
252781,20877,KPTN,4500.0,100.0,WATER,0,0,04W,29.70439910888672,-91.34390258789062,,55,,22W,29.711599349975582,-91.3322982788086,,235,
244614,20877,KPTN,5399.0,150.0,ASP,1,0,06,29.707000732421875,-91.34700012207033,7.0,59,394.0,24,29.714599609375,-91.3323974609375,8.0,239,
254137,20878,KPTS,4001.0,75.0,ASPH-G,0,0,04,37.44309997558594,-94.73629760742188,939.0,40,,22,37.45149993896485,-94.72750091552734,919.0,220,
242628,20878,KPTS,3008.0,100.0,ASP,0,1,10,37.44710159301758,-94.73680114746094,949.0,110,,28,37.44430160522461,-94.7270965576172,921.0,290,
242629,20878,KPTS,5500.0,100.0,ASP,1,0,16,37.45840072631836,-94.7322006225586,933.0,169,,34,37.44359970092773,-94.72889709472656,927.0,349,
242258,20879,KPTT,5500.0,100.0,ASP,1,0,17,37.70920181274414,-98.7468032836914,1950.0,180,,35,37.69409942626953,-98.74690246582033,1944.0,0,
241127,20880,KPTV,5908.0,150.0,ASP,1,0,12,36.035400390625,-119.06999969482422,430.0,135,,30,36.023799896240234,-119.05599975585938,442.0,315,
243090,20881,KPTW,3371.0,75.0,ASP,1,0,10,40.23910140991211,-75.56269836425781,307.0,85,,28,40.2400016784668,-75.55069732666016,305.0,265,200.0
241424,3794,KPUB,10496.0,150.0,ASP,1,0,08L,38.28710174560547,-104.51000213623048,4667.0,88,,26R,38.28799819946289,-104.4739990234375,4646.0,268,
241423,3794,KPUB,4073.0,75.0,ASP,0,0,08R,38.285301208496094,-104.5019989013672,4654.0,88,,26L,38.28570175170898,-104.48699951171876,4641.0,268,
241425,3794,KPUB,8268.0,150.0,ASP,0,1,12,38.30419921875,-104.50399780273438,4725.0,133,,30,38.288700103759766,-104.48200225830078,4654.0,313,
